http_request_url,nos_redirects,status_code_tool,final_processed_url,error_message_tool,website,afid,name,status_code_requests,notes,updated_name,google_url
http://www.crossfittaniwha.com,,200,https://www.crossfittaniwha.com/,,www.crossfittaniwha.com,18032,CrossFit Taniwha,,,CrossFit+Taniwha,https://www.google.com/search?q=CrossFit+Taniwha
http://www.kingsrivercrossfit.com,,,,DNS lookup error www.kingsrivercrossfit.com www.kingsrivercrossfit.com:80,www.kingsrivercrossfit.com,18035,Kings River CrossFit,,,Kings+River+CrossFit,https://www.google.com/search?q=Kings+River+CrossFit
http://www.crossfitzoetic.com,,200,https://www.crossfitzoetic.com/,,www.crossfitzoetic.com,18039,CrossFit Zoetic,,,CrossFit+Zoetic,https://www.google.com/search?q=CrossFit+Zoetic
http://www.maxoncrossfit.com,,200,https://www.maxoncrossfit.co.uk/,,www.maxoncrossfit.com,18047,MaxOn CrossFit,,,MaxOn+CrossFit,https://www.google.com/search?q=MaxOn+CrossFit
http://www.crossfitoverride.com,,200,https://www.crossfitoverride.com/,,www.crossfitoverride.com,18054,CrossFit Override,,,CrossFit+Override,https://www.google.com/search?q=CrossFit+Override
http://www.crossfitsarajevo.com,,200,http://www.crossfitsarajevo.com/home,,www.crossfitsarajevo.com,18056,CrossFit Sarajevo,,,CrossFit+Sarajevo,https://www.google.com/search?q=CrossFit+Sarajevo
http://www.crossfitpracan.com,0,200,http://www.crossfitpracan.com,,www.crossfitpracan.com,18057,CrossFit Pracan,,,CrossFit+Pracan,https://www.google.com/search?q=CrossFit+Pracan
http://www.crossfitwonderland.com,,200,https://www.crossfitwonderland.com/,,www.crossfitwonderland.com,18059,CrossFit Wonderland,,,CrossFit+Wonderland,https://www.google.com/search?q=CrossFit+Wonderland
http://www.crossfitjesolo.com,0,200,http://www.crossfitjesolo.com,,www.crossfitjesolo.com,18062,CrossFit Jesolo,,,CrossFit+Jesolo,https://www.google.com/search?q=CrossFit+Jesolo
http://www.crossfitvolcano.com,,200,https://cfvolcano.modoo.at,,www.crossfitvolcano.com,18065,CrossFit Volcano,,,CrossFit+Volcano,https://www.google.com/search?q=CrossFit+Volcano
http://www.crossfitharwoodheights.com,,200,https://www.crossfitharwoodheights.com/,,www.crossfitharwoodheights.com,18068,CrossFit Harwood Heights,,,CrossFit+Harwood+Heights,https://www.google.com/search?q=CrossFit+Harwood+Heights
http://www.torcarbonecrossfit.com,,200,https://torcarbonecrossfit.com/,,www.torcarbonecrossfit.com,18071,Tor Carbone CrossFit,,,Tor+Carbone+CrossFit,https://www.google.com/search?q=Tor+Carbone+CrossFit
http://www.crossfitgarrotxa.com,,200,https://crossfitgarrotxa.com/,,www.crossfitgarrotxa.com,18072,CrossFit Garrotxa,,,CrossFit+Garrotxa,https://www.google.com/search?q=CrossFit+Garrotxa
http://www.mococrossfit.com,,200,https://www.mococrossfit.com/,,www.mococrossfit.com,18075,MoCo CrossFit,,,MoCo+CrossFit,https://www.google.com/search?q=MoCo+CrossFit
http://www.crossfittupelo.com,,200,https://www.crossfittupelo.com/,,www.crossfittupelo.com,18076,CrossFit Tupelo,,,CrossFit+Tupelo,https://www.google.com/search?q=CrossFit+Tupelo
